"Level","#","Label","Definition","Correct","Attempts","Score %","Part of Speech","Gender"
85,40,"Que je lise","Lire",,,,,
85,41,"Que je vaille","Valoir",,,,,
85,42,"Que je tienne","Tenir",,,,,
85,43,"Que je reçoive","Recevoir",,,,,
85,44,"Que j'écrive","Écrire",,,,,
85,45,"Que je dise","Dire",,,,,
85,46,"Que je couvre","Couvrir",,,,,
85,47,"Que je suive","Suivre",,,,,
85,48,"Que je croie","Croire",,,,,
85,49,"Que je pense","Penser",,,,,
85,50,"Que je craigne","Craindre",,,,,
85,51,"Que je peigne","Peindre",,,,,
85,52,"Que je taise","Taire",,,,,
85,53,"Que j'acquière","Acquérir",,,,,
85,54,"Que je déçoive","Décevoir",,,,,
85,55,"Que j'instruise","Instruire",,,,,
85,56,"Que je souffre","Souffrir",,,,,
85,57,"Que je joigne","Joindre",,,,,
85,58,"Que je produise","Produire",,,,,
86,1,"Je veux","Vouloir",,,,,
86,2,"J'apprends","Apprendre",,,,,
86,3,"Je dis","Dire",,,,,
86,4,"Je nais","Naître",,,,,
86,5,"J'offre","Offrir",,,,,
86,6,"J'ouvre","Ouvrir",,,,,
86,7,"Je peux","Pouvoir",,,,,
86,8,"Je vois","Voir",,,,,
86,9,"Je meurs","Mourir",,,,,
86,10,"Il faut","Falloir",,,,,
86,11,"Je deviens","Devenir",,,,,
86,12,"Je viens","Venir",,,,,
86,13,"Je mets","Mettre",,,,,
86,14,"Je sais","Savoir",,,,,
86,15,"Je fais","Faire",,,,,
86,16,"Je prends","Prendre",,,,,
86,17,"Je bois","Boire",,,,,
86,18,"Je mange","Manger",,,,,
86,19,"Je parais","Paraître",,,,,
86,20,"Je cours","Courir",,,,,
86,21,"J'entends","Entendre",,,,,
86,22,"Il semble","Sembler",,,,,
86,23,"Je pars","Partir",,,,,
86,24,"Je sors","Sortir",,,,,
86,25,"Je ris","Rire",,,,,
86,26,"Je souris","Sourire",,,,,
86,27,"Je comprends","Comprendre",,,,,
86,28,"Je conduis","Conduire",,,,,
86,29,"Je connais","Connaître",,,,,
86,30,"Je permets","Permettre",,,,,
86,31,"Je vis","Vivre",,,,,
86,32,"J'habite","Habiter",,,,,
86,33,"Je plais","Plaire",,,,,
86,34,"Il pleut","Pleuvoir",,,,,
86,35,"Je construis","Construire",,,,,
86,36,"J'écris","Écrire",,,,,
86,37,"Je vaux","Valoir",,,,,
86,38,"Je reçois","Recevoir",,,,,
86,39,"Je couvre","Couvrir",,,,,
86,40,"Je suis","Suivre",,,,,
86,41,"Je crois","Croire",,,,,
86,42,"Je pense","Penser",,,,,
86,43,"Je crains","Craindre",,,,,
86,44,"Je peins","Peindre",,,,,
86,45,"Je tais","Taire",,,,,
86,46,"J'acquiers","Acquérir",,,,,
86,47,"Je déçois","Décevoir",,,,,
86,48,"J'instruis","Instruire",,,,,
86,49,"Je souffre","Souffrir",,,,,
86,50,"Je joins","Joindre",,,,,
86,51,"Je produis","Produire",,,,,
87,1,"Le mien","Mine",,,,,
87,2,"Le tien","Yours",,,,,
87,3,"Le sien","His/hers",,,,,
87,4,"Le nôtre","Ours",,,,,
87,5,"Le vôtre","Yours (plural)",,,,,
87,6,"Le leur","Theirs",,,,,
88,1,"Tourner un film","To make a film",,,,,
88,2,"Ennuyeux
ennuyeuse","Boring, dull (Adj)",,,,"adjective",
88,3,"Le réalisateur
un réalisateur
réalisateur","Director, film maker",,,,"noun","masc"
88,4,"Le metteur en scène","(Another word for film director) (M...)",,,,,
88,5,"La pièce de théâtre","Play (theatrical)",,,,,
88,6,"Le documentaire
un documentaire
documentaire","Documentary",,,,"noun","masc"
88,7,"Le scénario","Screenplay",,,,,
88,8,"La bande-annonce","Movie trailer",,,,,
88,9,"La bande-originale","Original soundtrack",,,,,
88,10,"La Bénoué","The Benue River",,,,,
89,1,"En voulant","Vouloir",,,,,
89,2,"En dormant","Dormir",,,,,
89,3,"En ayant","Avoir",,,,,
89,4,"En étant","Être",,,,,
89,5,"En sachant","Savoir",,,,,
89,6,"En choisissant","Choisir",,,,,
89,7,"En parlant","Parler",,,,,
89,8,"En mangeant","Manger",,,,,
89,9,"En gérant","Gérer",,,,,
89,10,"En payant","Payer",,,,,
89,11,"En écrivant","Écrire",,,,,
89,12,"En voyant","Voir",,,,,
89,13,"En ouvrant","Ouvrir",,,,,
89,14,"En mourant","Mourir",,,,,
89,15,"En partant","Partir",,,,,
89,16,"En souriant","Sourire",,,,,
89,17,"En sortant","Sortir",,,,,
89,18,"En comprenant","Comprendre",,,,,
89,19,"En entendant","Entendre",,,,,
89,20,"En s'entendant","Se entendre",,,,,
89,21,"En communiquant","Communiquer",,,,,
90,1,"Rien d'autre","Nothing else",,,,,
90,2,"Brûlant","Burning (Adj)",,,,,
90,3,"L'espoir
un espoir
espoir","Hope, expectation, expectancy",,,,"noun","masc"
