行,"go; walk; move, travel; circulate",xíng
所,"place, location; numerary adjunct",suǒ
然,"yes, certainly; pledge, promise",rán
家,"house, home, residence; family",jiā
种,"seed; race, breed; to plant",zhǒng
事,"affair, matter, business; to serve; accident, incident",shì
成,"completed, finished, fixed",chéng
方,"a square, rectangle; a region; local",fāng
多,"much, many; more than, over",duō
经,classic works; pass through,jīng
么,interrogative particle; repetition of a tune small; tender,me
去,"go away, leave, depart",qù
法,"law, rule, regulation, statute; France, French",fǎ
学,"learning, knowledge; school",xué
如,"if, supposing; as if; like, as",rú
都,"metropolis, capital; all, the whole; elegant, refined",dōu
同,"same, similar; together with",tóng
现,"appear, manifest, become visible",xiàn
当,"bear, accept, undertake; just",dāng
没,"not, have not, none; drown, sink",méi
动,"move, happen; movement, action",dòng
面,"face; surface; plane; side, dimension",miàn
起,"rise, stand up; go up; begin",qǐ
看,"look, see; examine, scrutinize",kàn
定,"decide, settle, fix",dìng
天,"sky, heaven; god, celestial",tiān
分,divide; small unit of time etc.,fēn
还,"still, yet, also, besides",hái
进,"advance, make progress, enter",jìn
好,"good, excellent, fine; well",hǎo
小,"small, tiny, insignificant",xiǎo
部,"part, division, section",bù
其,"his, her, its, their; that",qí
些,"little, few; rather, somewhat",xiē
主,"master, chief owner; host; lord",zhǔ
样,"shape, form, pattern, style",yàng
理,"reason, logic; manage",lǐ
心,"heart; mind, intelligence; soul",xīn
她,"she, her",tā
本,"root, origin, source; basis",běn
前,"in front, forward; preceding",qián
开,"open; initiate, begin, start",kāi
但,"only; but, however, yet, still",dàn
因,"cause, reason; by; because (of)",yīn
只,"only, just, simply",zhǐ
从,"from, by, since, whence, through",cóng
想,"think, speculate, plan, consider",xiǎng
实,"real, true; honest, sincere",shí
的,"possessive, adjectival suffix",de
一,"one; a, an; alone",yī
是,"indeed, yes, right; to be; demonstrative pronoun, this, that",shì
不,"no, not; un-; negative prefix",bù
了,to finish; particle of completed action,le
在,"be at, in, on; consist in, rest",zài
人,man; people; mankind; someone else,rén
有,"have, own, possess; exist",yǒu
我,"our, us, i, me, my, we",wǒ
他,"other, another; he, she, it",tā
这,"this, the, here",zhè
个,"numerary adjunct, piece; single",gè
们,adjunct pronoun indicate plural,men
中,"central; center, middle; in the midst of; hit (target); attain",zhōng
来,"come, coming; return, returning",lái
上,"top; superior, highest; go up, send up",shàng
大,"big, great, vast, large, high",dà
为,"do, handle, govern, act; be",wèi
和,"harmony, peace; peaceful, calm",hé
国,"nation, country, nation-state",guó
地,"earth; soil, ground; region",de
到,"go to, arrive, been to",dào
以,"by means of; thereby, therefore; consider as; in order to",yǐ
说,"speak, say, talk; scold, upbraid",shuō
时,"time, season; era, age, period",shí
要,"necessary, essential; necessity",yào
就,"just, simply; to come, go to; to approach, near",jiù
出,"go out, send out; stand; produce",chū
会,"assemble, meet together; meeting",huì
可,"may, can, -able; possibly",kě
也,also; classical final particle of strong affirmation or identity,yě
你,"you, second person pronoun",nǐ
对,"correct, right; facing, opposed",duì
生,"life, living, lifetime; birth",shēng
能,"to be able; can, permitted to; ability",néng
而,and; and then; and yet; but,ér
子,"offspring, child; fruit, seed of; 1st terrestrial branch",zi
那,"that, that one, those",nà
得,"obtain, get, gain, acquire",dé
于,"in, on, at; go to; surname",yú
着,"make move, take action",zhe
下,"under, underneath, below; down; inferior; bring down",xià
自,"self, private, personal; from",zì
之,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",zhī
年,,nián
过,"pass, pass through, go across",guò
发,"issue, dispatch, send out; hair",fā
后,"queen, empress, sovereign; (simp. for ",hòu
作,"make; work; compose, write; act, perform",zuò
里,unit of distance; village; lane,lǐ
用,"use, employ, apply, operate; use",yòng
道,"path, road, street; method, way",dào
行,"go; walk; move, travel; circulate",xíng
所,"place, location; numerary adjunct",suǒ
然,"yes, certainly; pledge, promise",rán
家,"house, home, residence; family",jiā
种,"seed; race, breed; to plant",zhǒng
事,"affair, matter, business; to serve; accident, incident",shì
成,"completed, finished, fixed",chéng
方,"a square, rectangle; a region; local",fāng
多,"much, many; more than, over",duō
经,classic works; pass through,jīng
么,interrogative particle; repetition of a tune small; tender,me
去,"go away, leave, depart",qù
法,"law, rule, regulation, statute; France, French",fǎ
学,"learning, knowledge; school",xué
如,"if, supposing; as if; like, as",rú
都,"metropolis, capital; all, the whole; elegant, refined",dōu
同,"same, similar; together with",tóng
现,"appear, manifest, become visible",xiàn
当,"bear, accept, undertake; just",dāng
没,"not, have not, none; drown, sink",méi
动,"move, happen; movement, action",dòng
面,"face; surface; plane; side, dimension",miàn
起,"rise, stand up; go up; begin",qǐ
看,"look, see; examine, scrutinize",kàn
定,"decide, settle, fix",dìng
天,"sky, heaven; god, celestial",tiān
分,divide; small unit of time etc.,fēn
还,"still, yet, also, besides",hái
进,"advance, make progress, enter",jìn
好,"good, excellent, fine; well",hǎo
小,"small, tiny, insignificant",xiǎo
部,"part, division, section",bù
其,"his, her, its, their; that",qí
些,"little, few; rather, somewhat",xiē
主,"master, chief owner; host; lord",zhǔ
样,"shape, form, pattern, style",yàng
理,"reason, logic; manage",lǐ
心,"heart; mind, intelligence; soul",xīn
她,"she, her",tā
